id_lote,tipo_proceso,horas_transcurridas,horas_restantes,temperatura_grano,temperatura_ambiental,humedad_ambiental,humedad_grano,lluvia,luz,_es_anomalia,_severidad,_tipo_anomalia,_calidad_final_lote,delta_temp
16,lavado,194,12,24.13,22.72,52.3,15.13,0.0,0.0,False,normal,normal,excelente,1.4100000000000001
25,honey,48,376,25.67,26.83,52.83,47.96,0.0,0.0,False,normal,normal,buena,-1.1599999999999966
24,lavado,124,53,24.89,22.11,56.41,26.54,0.0,0.0,False,normal,normal,excelente,2.780000000000001
61,natural,20,362,31.22,28.24,55.03,49.51,0.0,0.0,False,normal,normal,excelente,2.9800000000000004
3,lavado,166,14,22.43,21.56,55.38,15.37,0.0,886.7,False,normal,normal,excelente,0.870000000000001
1,lavado,66,133,28.24,26.43,50.9,43.54,0.0,998.4,False,normal,normal,buena,1.8099999999999987
49,natural,356,89,30.88,28.07,50.28,17.31,0.0,1239.2,False,normal,normal,regular,2.8099999999999987
39,honey,250,143,30.08,28.12,55.59,26.51,0.0,41001.7,False,normal,normal,buena,1.9599999999999973
44,honey,382,88,24.18,22.34,50.32,17.95,0.0,0.0,False,normal,normal,baja,1.8399999999999999
4,lavado,12,143,31.57,27.74,47.85,51.16,0.0,57291.6,False,normal,normal,excelente,3.830000000000002
51,natural,236,265,31.47,29.02,54.79,30.13,0.0,0.0,True,riesgo,secado_estancado,regular,2.4499999999999993
31,honey,46,334,24.39,22.6,59.13,50.99,0.0,104.1,False,normal,normal,buena,1.7899999999999991
11,lavado,160,53,32.39,30.59,44.46,22.87,0.0,30518.9,False,normal,normal,excelente,1.8000000000000007
57,natural,24,493,25.4,23.03,54.82,53.08,0.0,945.0,False,normal,normal,buena,2.3699999999999974
18,lavado,118,70,27.0,24.68,58.59,26.63,0.0,0.0,False,normal,normal,regular,2.3200000000000003
34,honey,128,67,29.39,27.57,60.73,25.48,0.0,26342.3,False,normal,normal,excelente,1.8200000000000003
62,natural,198,363,26.4,24.78,54.93,35.02,0.0,0.0,False,normal,normal,baja,1.6199999999999974
29,honey,138,329,31.72,29.14,55.04,36.4,0.0,317.9,False,normal,normal,baja,2.5799999999999983
35,honey,10,500,34.51,31.09,45.4,52.71,0.0,65986.5,False,normal,normal,regular,3.419999999999998
55,natural,172,77,26.73,24.57,54.28,22.47,0.0,0.0,False,normal,normal,excelente,2.16
30,honey,206,272,31.76,28.31,52.82,32.37,0.0,65939.3,False,normal,normal,buena,3.450000000000003
60,natural,352,295,36.53,34.0,54.0,30.64,0.0,40444.6,False,normal,normal,baja,2.530000000000001
7,lavado,40,148,31.01,28.1,52.12,45.62,0.0,29790.4,False,normal,normal,excelente,2.91
31,honey,240,140,20.0,17.93,54.87,28.85,0.0,4295.5,False,normal,normal,buena,2.0700000000000003
30,honey,286,192,25.57,23.76,53.66,25.28,0.0,0.0,False,normal,normal,buena,1.8099999999999987
60,natural,536,111,32.68,30.14,55.14,17.3,0.0,32955.8,False,normal,normal,baja,2.539999999999999
22,lavado,76,128,24.18,22.33,55.27,39.59,0.0,2675.1,False,normal,normal,regular,1.8500000000000014
8,lavado,140,16,25.83,24.56,50.87,16.01,0.0,0.0,False,normal,normal,excelente,1.2699999999999996
57,natural,44,473,29.59,27.65,50.3,31.49,0.0,1484.5,True,riesgo,secado_estancado,buena,1.9400000000000013
64,natural,272,33,28.1,26.18,48.48,16.21,0.0,30638.3,False,normal,normal,buena,1.9200000000000017
50,natural,572,23,30.42,27.93,51.27,12.28,0.0,128.6,False,normal,normal,regular,2.490000000000002
34,honey,10,185,32.7,30.72,49.7,46.19,0.0,38779.5,False,normal,normal,excelente,1.980000000000004
43,honey,184,33,32.01,29.46,44.24,16.57,0.0,25447.2,False,normal,normal,excelente,2.549999999999997
39,honey,70,323,26.32,24.28,58.31,46.76,0.0,1456.9,False,normal,normal,buena,2.039999999999999
68,natural,164,162,29.6,28.15,53.67,32.29,0.0,1545.1,False,normal,normal,regular,1.4500000000000028
49,natural,206,239,34.62,32.45,42.6,30.71,0.0,45052.8,False,normal,normal,regular,2.1699999999999946
42,honey,136,73,30.58,30.1,52.26,26.43,0.0,34605.7,False,normal,normal,baja,0.4799999999999969
60,natural,252,395,39.67,33.73,47.32,37.67,0.0,84278.2,True,advertencia,temperatura_alta,baja,5.940000000000005
69,natural,202,54,35.34,31.08,46.98,20.62,0.0,73426.1,False,normal,normal,buena,4.260000000000005
31,honey,344,36,26.51,24.42,54.43,14.77,0.0,42896.9,False,normal,normal,buena,2.09
5,lavado,52,99,23.44,21.31,58.37,42.44,0.0,0.0,False,normal,normal,excelente,2.1300000000000026
2,lavado,10,139,31.33,27.87,46.83,48.88,0.0,64826.3,False,normal,normal,excelente,3.4599999999999973
66,natural,326,101,34.45,31.82,86.13,19.72,0.853,50245.7,True,critico,lluvia_detectada,regular,2.6300000000000026
34,honey,124,71,25.12,23.51,52.39,26.21,0.0,0.0,False,normal,normal,excelente,1.6099999999999994
66,natural,254,173,39.26,36.05,51.2,25.06,0.0,54710.0,True,advertencia,temperatura_alta,regular,3.210000000000001
56,natural,238,108,28.88,26.09,57.03,23.09,0.0,0.0,False,normal,normal,buena,2.789999999999999
50,natural,110,485,34.98,31.12,51.08,45.7,0.0,69910.4,False,normal,normal,regular,3.859999999999996
37,honey,288,91,24.05,22.52,56.86,19.97,0.0,0.0,False,normal,normal,regular,1.5300000000000011
25,honey,270,154,26.1,24.15,53.04,25.12,0.0,0.0,False,normal,normal,buena,1.9500000000000028
61,natural,258,124,28.96,27.38,89.43,24.56,0.911,0.0,True,critico,lluvia_detectada,excelente,1.5800000000000018
41,honey,250,90,32.72,28.32,48.09,21.65,0.0,53204.0,False,normal,normal,excelente,4.399999999999999
9,lavado,26,154,22.19,20.26,51.36,52.66,0.0,0.0,False,normal,normal,excelente,1.9299999999999997
13,lavado,10,199,29.46,27.25,46.78,56.06,0.0,40019.5,False,normal,normal,regular,2.210000000000001
57,natural,328,189,35.56,33.4,44.79,27.9,0.0,30963.1,False,normal,normal,buena,2.1600000000000037
50,natural,122,473,24.68,22.98,52.05,44.15,0.0,0.0,False,normal,normal,regular,1.6999999999999993
5,lavado,132,19,34.21,30.19,46.91,17.96,0.0,65586.3,False,normal,normal,excelente,4.02
6,lavado,42,156,28.89,29.23,53.27,43.07,0.0,2231.2,False,normal,normal,buena,-0.33999999999999986
39,honey,154,239,33.51,29.34,48.08,37.94,0.0,68738.0,False,normal,normal,buena,4.169999999999998
40,honey,198,67,27.01,25.03,56.87,19.36,0.0,0.0,False,normal,normal,buena,1.9800000000000004
71,natural,246,384,26.35,24.06,59.88,37.59,0.0,1488.2,False,normal,normal,regular,2.2900000000000027
52,natural,214,445,26.93,26.09,52.16,41.22,0.0,0.0,True,riesgo,secado_estancado,baja,0.8399999999999999
57,natural,106,411,34.28,30.68,45.48,47.55,0.0,60266.2,True,riesgo,secado_estancado,buena,3.6000000000000014
35,honey,258,252,29.41,27.73,48.15,30.88,0.0,2052.8,False,normal,normal,regular,1.6799999999999997
28,honey,178,30,34.35,31.24,46.1,16.49,0.0,56362.9,False,normal,normal,buena,3.110000000000003
29,honey,260,207,28.5,27.41,47.26,27.22,0.0,0.0,False,normal,normal,baja,1.0899999999999999
54,natural,4,268,24.96,22.49,58.55,48.32,0.0,0.0,False,normal,normal,buena,2.4700000000000024
65,natural,76,275,28.36,26.23,53.64,41.6,0.0,0.0,False,normal,normal,buena,2.129999999999999
23,lavado,38,152,33.88,29.72,45.86,49.59,0.0,70849.3,False,normal,normal,regular,4.160000000000004
48,honey,192,286,19.78,17.99,60.56,34.35,0.0,0.0,False,normal,normal,buena,1.7900000000000027
6,lavado,186,12,29.86,27.87,48.14,13.48,0.0,2061.7,False,normal,normal,buena,1.9899999999999984
4,lavado,88,67,32.38,30.15,51.68,32.62,0.0,31379.7,False,normal,normal,excelente,2.230000000000004
18,lavado,142,46,25.9,24.44,55.47,21.83,0.0,1880.2,False,normal,normal,regular,1.4599999999999973
49,natural,326,119,34.69,31.84,47.19,19.54,0.0,42703.7,False,normal,normal,regular,2.849999999999998
30,honey,320,158,26.87,24.89,58.26,22.02,0.0,35296.8,False,normal,normal,buena,1.9800000000000004
45,honey,84,157,35.21,31.45,49.19,36.69,0.0,72490.8,True,advertencia,temperatura_alta,buena,3.7600000000000016
43,honey,12,205,30.45,28.82,47.52,47.18,0.0,44558.7,False,normal,normal,excelente,1.629999999999999
