id_lectura,id_sensor,id_lote,temperatura,humedad,timestamp
1,1,1,26.79,65.0,2026-06-01 06:00:00
2,1,1,25.72,63.93,2026-06-01 06:10:00
3,1,1,26.11,64.64,2026-06-01 06:20:00
4,1,1,25.92,65.0,2026-06-01 06:30:00
5,1,1,,62.88,2026-06-01 06:40:00
6,1,1,26.55,65.0,2026-06-01 06:50:00
7,1,1,28.21,65.0,2026-06-01 07:00:00
8,1,1,30.03,65.0,2026-06-01 07:10:00
9,1,1,27.08,82.67,2026-06-01 07:20:00
10,1,1,27.38,65.0,2026-06-01 07:30:00
11,1,1,27.7,65.0,2026-06-01 07:40:00
12,1,1,29.2,65.0,2026-06-01 07:50:00
13,1,1,28.37,65.0,2026-06-01 08:00:00
14,1,1,27.31,65.0,2026-06-01 08:10:00
15,1,1,28.75,65.0,2026-06-01 08:20:00
16,1,1,29.04,65.0,2026-06-01 08:30:00
17,1,1,,65.0,2026-06-01 08:40:00
18,1,1,28.43,65.0,2026-06-01 08:50:00
19,1,1,31.03,65.0,2026-06-01 09:00:00
20,1,1,30.12,65.0,2026-06-01 09:10:00
21,1,1,30.31,65.0,2026-06-01 09:20:00
22,1,1,29.55,65.0,2026-06-01 09:30:00
23,1,1,29.25,65.0,2026-06-01 09:40:00
24,1,1,29.51,65.0,2026-06-01 09:50:00
25,1,1,28.94,65.0,2026-06-01 10:00:00
26,1,1,31.31,65.0,2026-06-01 10:10:00
27,1,1,30.03,65.0,2026-06-01 10:20:00
28,1,1,31.24,65.0,2026-06-01 10:30:00
29,1,1,29.93,65.0,2026-06-01 10:40:00
30,1,1,30.66,,2026-06-01 10:50:00
31,1,1,30.51,65.0,2026-06-01 11:00:00
32,1,1,29.31,65.0,2026-06-01 11:10:00
33,1,1,31.82,65.0,2026-06-01 11:20:00
34,1,1,30.16,65.0,2026-06-01 11:30:00
35,1,1,29.6,65.0,2026-06-01 11:40:00
36,1,1,31.01,89.44,2026-06-01 11:50:00
37,1,1,30.77,65.0,2026-06-01 12:00:00
38,1,1,30.57,65.0,2026-06-01 12:10:00
39,1,1,28.84,65.0,2026-06-01 12:20:00
40,1,1,,65.0,2026-06-01 12:30:00
41,1,1,29.74,65.0,2026-06-01 12:40:00
42,1,1,31.14,65.0,2026-06-01 12:50:00
43,1,1,45.32,65.0,2026-06-01 13:00:00
